image_index,image,unique_id,concept,recognizability,recognizability_homonyms,recognizability_close,nameability_naming-consistency,nameability,memorability_cr,relative_image_path,concept_index
20,abacus/abacus_07s.jpg,abacus,abacus,0.882352941,0.882352941,0.882352941,0.875,0.875,0.763157895,images/abacus/abacus_07s.jpg,1
21,abacus/abacus_08s.jpg,abacus,abacus,0.947368421,0.947368421,0.947368421,0.588235294,0.588235294,0.756097561,images/abacus/abacus_08s.jpg,1
22,abacus/abacus_09s.jpg,abacus,abacus,0.666666667,0.666666667,0.666666667,0.882352941,0.882352941,0.789473684,images/abacus/abacus_09s.jpg,1
23,abacus/abacus_10s.jpg,abacus,abacus,0.933333333,0.933333333,0.933333333,0.777777778,0.777777778,0.743589744,images/abacus/abacus_10s.jpg,1
24,abacus/abacus_11s.jpg,abacus,abacus,0.714285714,0.714285714,0.714285714,0.666666667,0.666666667,0.833333333,images/abacus/abacus_11s.jpg,1
25,abacus/abacus_12s.jpg,abacus,abacus,0.6,0.6,0.6,0.777777778,0.777777778,0.926829268,images/abacus/abacus_12s.jpg,1
26,abacus/abacus_13s.jpg,abacus,abacus,0.875,0.875,0.875,0.7,0.7,0.794871795,images/abacus/abacus_13s.jpg,1
27,abacus/abacus_14s.jpg,abacus,abacus,0.75,0.75,0.75,0.875,0.875,0.756097561,images/abacus/abacus_14s.jpg,1
28,accordion/accordion_01b.jpg,accordion,accordion,0.461538462,0.461538462,0.461538462,0.888888889,0.888888889,0.725,images/accordion/accordion_01b.jpg,2
29,accordion/accordion_02s.jpg,accordion,accordion,0.4,0.4,0.4,0.95,0.95,0.714285714,images/accordion/accordion_02s.jpg,2
30,accordion/accordion_03s.jpg,accordion,accordion,0.181818182,0.181818182,0.181818182,1.0,1.0,0.65,images/accordion/accordion_03s.jpg,2
31,accordion/accordion_04s.jpg,accordion,accordion,0.357142857,0.357142857,0.357142857,0.823529412,0.823529412,0.769230769,images/accordion/accordion_04s.jpg,2
32,accordion/accordion_05s.jpg,accordion,accordion,0.333333333,0.333333333,0.333333333,0.875,0.875,0.804878049,images/accordion/accordion_05s.jpg,2
33,accordion/accordion_06s.jpg,accordion,accordion,0.5,0.5,0.5,0.684210526,0.684210526,0.666666667,images/accordion/accordion_06s.jpg,2
34,accordion/accordion_07s.jpg,accordion,accordion,0.545454545,0.545454545,0.545454545,0.894736842,0.894736842,0.756097561,images/accordion/accordion_07s.jpg,2
35,accordion/accordion_08s.jpg,accordion,accordion,0.583333333,0.583333333,0.583333333,0.9375,0.9375,0.820512821,images/accordion/accordion_08s.jpg,2
36,accordion/accordion_09s.jpg,accordion,accordion,0.333333333,0.333333333,0.333333333,0.777777778,0.777777778,0.853658537,images/accordion/accordion_09s.jpg,2
37,accordion/accordion_10s.jpg,accordion,accordion,0.583333333,0.583333333,0.583333333,1.0,1.0,0.775,images/accordion/accordion_10s.jpg,2
38,accordion/accordion_11s.jpg,accordion,accordion,0.466666667,0.466666667,0.466666667,0.875,0.875,0.692307692,images/accordion/accordion_11s.jpg,2
39,accordion/accordion_12s.jpg,accordion,accordion,0.4375,0.4375,0.4375,1.0,1.0,0.682926829,images/accordion/accordion_12s.jpg,2
40,accordion/accordion_13s.jpg,accordion,accordion,0.384615385,0.384615385,0.384615385,0.947368421,0.947368421,0.8,images/accordion/accordion_13s.jpg,2
41,accordion/accordion_14s.jpg,accordion,accordion,0.642857143,0.642857143,0.642857143,1.0,1.0,0.829268293,images/accordion/accordion_14s.jpg,2
42,acorn/acorn_01b.jpg,acorn,acorn,0.6,0.6,0.6,0.888888889,0.888888889,0.714285714,images/acorn/acorn_01b.jpg,3
43,acorn/acorn_02n.jpg,acorn,acorn,0.736842105,0.736842105,0.736842105,0.882352941,0.882352941,0.585365854,images/acorn/acorn_02n.jpg,3
44,acorn/acorn_03s.jpg,acorn,acorn,0.727272727,0.727272727,0.727272727,0.944444444,0.944444444,0.875,images/acorn/acorn_03s.jpg,3
45,acorn/acorn_04s.jpg,acorn,acorn,0.666666667,0.666666667,0.666666667,0.944444444,0.944444444,0.871794872,images/acorn/acorn_04s.jpg,3
46,acorn/acorn_05s.jpg,acorn,acorn,0.785714286,0.785714286,0.785714286,0.947368421,0.947368421,0.85,images/acorn/acorn_05s.jpg,3
47,acorn/acorn_06s.jpg,acorn,acorn,0.666666667,0.666666667,0.666666667,0.947368421,0.947368421,0.578947368,images/acorn/acorn_06s.jpg,3
48,acorn/acorn_07s.jpg,acorn,acorn,0.692307692,0.692307692,0.692307692,0.882352941,0.882352941,0.75,images/acorn/acorn_07s.jpg,3
49,acorn/acorn_08s.jpg,acorn,acorn,0.583333333,0.583333333,0.583333333,0.947368421,0.947368421,0.87804878,images/acorn/acorn_08s.jpg,3
50,acorn/acorn_09s.jpg,acorn,acorn,0.4375,0.4375,0.4375,0.947368421,0.947368421,0.658536585,images/acorn/acorn_09s.jpg,3
51,acorn/acorn_10s.jpg,acorn,acorn,0.727272727,0.727272727,0.727272727,0.894736842,0.894736842,0.85,images/acorn/acorn_10s.jpg,3
52,acorn/acorn_11s.jpg,acorn,acorn,0.846153846,0.846153846,0.846153846,0.888888889,0.888888889,0.820512821,images/acorn/acorn_11s.jpg,3
53,acorn/acorn_12s.jpg,acorn,acorn,0.823529412,0.823529412,0.823529412,1.0,1.0,0.87804878,images/acorn/acorn_12s.jpg,3
54,acorn/acorn_13s.jpg,acorn,acorn,0.842105263,0.842105263,0.842105263,0.947368421,0.947368421,0.775,images/acorn/acorn_13s.jpg,3
55,acorn/acorn_14n.jpg,acorn,acorn,0.625,0.625,0.625,1.0,1.0,0.846153846,images/acorn/acorn_14n.jpg,3
56,acorn/acorn_15n.jpg,acorn,acorn,0.823529412,0.823529412,0.823529412,0.944444444,0.944444444,0.682926829,images/acorn/acorn_15n.jpg,3
57,acorn/acorn_16n.jpg,acorn,acorn,0.666666667,0.666666667,0.666666667,0.823529412,0.823529412,0.575,images/acorn/acorn_16n.jpg,3
58,air_conditioner/air_conditioner_01b.jpg,air_conditioner,air conditioner,0.846153846,0.846153846,0.846153846,0.833333333,0.833333333,0.65,images/air_conditioner/air_conditioner_01b.jpg,4
59,air_conditioner/air_conditioner_02s.jpg,air_conditioner,air conditioner,0.833333333,0.833333333,0.833333333,0.9,0.9,0.738095238,images/air_conditioner/air_conditioner_02s.jpg,4
60,air_conditioner/air_conditioner_03s.jpg,air_conditioner,air conditioner,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.820512821,images/air_conditioner/air_conditioner_03s.jpg,4
61,air_conditioner/air_conditioner_04s.jpg,air_conditioner,air conditioner,1.0,1.0,1.0,0.894736842,0.894736842,0.775,images/air_conditioner/air_conditioner_04s.jpg,4
62,air_conditioner/air_conditioner_05s.jpg,air_conditioner,air conditioner,0.6875,0.6875,0.6875,0.611111111,0.666666667,0.761904762,images/air_conditioner/air_conditioner_05s.jpg,4
63,air_conditioner/air_conditioner_06s.jpg,air_conditioner,air conditioner,0.944444444,0.944444444,0.944444444,0.8,0.8,0.666666667,images/air_conditioner/air_conditioner_06s.jpg,4
64,air_conditioner/air_conditioner_07s.jpg,air_conditioner,air conditioner,0.866666667,0.866666667,0.866666667,0.294117647,0.294117647,0.829268293,images/air_conditioner/air_conditioner_07s.jpg,4
65,air_conditioner/air_conditioner_08s.jpg,air_conditioner,air conditioner,0.846153846,0.846153846,0.846153846,0.842105263,0.842105263,0.880952381,images/air_conditioner/air_conditioner_08s.jpg,4
66,air_conditioner/air_conditioner_09s.jpg,air_conditioner,air conditioner,0.933333333,0.933333333,0.933333333,0.944444444,0.944444444,0.76744186,images/air_conditioner/air_conditioner_09s.jpg,4
67,air_conditioner/air_conditioner_10s.jpg,air_conditioner,air conditioner,0.9,0.9,0.9,0.882352941,0.882352941,0.897435897,images/air_conditioner/air_conditioner_10s.jpg,4
68,air_conditioner/air_conditioner_11s.jpg,air_conditioner,air conditioner,0.866666667,0.866666667,0.866666667,0.789473684,0.789473684,0.926829268,images/air_conditioner/air_conditioner_11s.jpg,4
69,air_conditioner/air_conditioner_12s.jpg,air_conditioner,air conditioner,0.8125,0.8125,0.8125,0.421052632,0.421052632,0.813953488,images/air_conditioner/air_conditioner_12s.jpg,4
70,air_conditioner/air_conditioner_13s.jpg,air_conditioner,air conditioner,0.882352941,0.882352941,0.882352941,0.894736842,0.894736842,0.8,images/air_conditioner/air_conditioner_13s.jpg,4
71,air_mattress/air_mattress_01b.jpg,air_mattress,air mattress,0.615384615,0.615384615,0.615384615,0.526315789,0.526315789,0.804878049,images/air_mattress/air_mattress_01b.jpg,5
72,air_mattress/air_mattress_02s.jpg,air_mattress,air mattress,0.375,0.375,0.375,0.473684211,0.473684211,0.85,images/air_mattress/air_mattress_02s.jpg,5
73,air_mattress/air_mattress_03s.jpg,air_mattress,air mattress,0.368421053,0.368421053,0.368421053,0.625,0.625,0.780487805,images/air_mattress/air_mattress_03s.jpg,5
74,air_mattress/air_mattress_04s.jpg,air_mattress,air mattress,0.411764706,0.411764706,0.411764706,0.625,0.625,0.85,images/air_mattress/air_mattress_04s.jpg,5
75,air_mattress/air_mattress_05s.jpg,air_mattress,air mattress,0.45,0.45,0.45,0.705882353,0.705882353,0.85,images/air_mattress/air_mattress_05s.jpg,5
76,air_mattress/air_mattress_06s.jpg,air_mattress,air mattress,0.357142857,0.357142857,0.357142857,0.666666667,0.666666667,0.794871795,images/air_mattress/air_mattress_06s.jpg,5
77,air_mattress/air_mattress_07s.jpg,air_mattress,air mattress,0.352941176,0.352941176,0.352941176,0.529411765,0.529411765,0.738095238,images/air_mattress/air_mattress_07s.jpg,5
78,air_mattress/air_mattress_08s.jpg,air_mattress,air mattress,0.5,0.5,0.5,0.6875,0.6875,0.880952381,images/air_mattress/air_mattress_08s.jpg,5
79,air_mattress/air_mattress_09s.jpg,air_mattress,air mattress,0.529411765,0.529411765,0.529411765,0.684210526,0.684210526,0.813953488,images/air_mattress/air_mattress_09s.jpg,5
80,air_mattress/air_mattress_10s.jpg,air_mattress,air mattress,0.5,0.5,0.5,0.555555556,0.611111111,0.833333333,images/air_mattress/air_mattress_10s.jpg,5
81,air_mattress/air_mattress_11s.jpg,air_mattress,air mattress,0.416666667,0.416666667,0.416666667,0.647058824,0.705882353,0.769230769,images/air_mattress/air_mattress_11s.jpg,5
82,air_mattress/air_mattress_12s.jpg,air_mattress,air mattress,0.4375,0.4375,0.4375,0.631578947,0.631578947,0.731707317,images/air_mattress/air_mattress_12s.jpg,5
83,air_mattress/air_mattress_13s.jpg,air_mattress,air mattress,0.357142857,0.357142857,0.357142857,0.722222222,0.722222222,0.780487805,images/air_mattress/air_mattress_13s.jpg,5
84,air_pump/air_pump_01s.jpg,air_pump,air pump,0.454545455,0.454545455,0.454545455,0.333333333,0.166666667,0.634146341,images/air_pump/air_pump_01s.jpg,6
85,air_pump/air_pump_02s.jpg,air_pump,air pump,0.8,0.8,0.8,0.294117647,0.294117647,0.634146341,images/air_pump/air_pump_02s.jpg,6
86,air_pump/air_pump_03s.jpg,air_pump,air pump,0.727272727,0.727272727,0.727272727,0.5,0.5,0.615384615,images/air_pump/air_pump_03s.jpg,6
87,air_pump/air_pump_04s.jpg,air_pump,air pump,0.692307692,0.692307692,0.692307692,0.294117647,0.294117647,0.775,images/air_pump/air_pump_04s.jpg,6
88,air_pump/air_pump_05s.jpg,air_pump,air pump,0.923076923,0.923076923,0.923076923,0.263157895,0.210526316,0.8,images/air_pump/air_pump_05s.jpg,6
89,air_pump/air_pump_06s.jpg,air_pump,air pump,0.772727273,0.772727273,0.772727273,0.666666667,0.666666667,0.775,images/air_pump/air_pump_06s.jpg,6
90,air_pump/air_pump_07s.jpg,air_pump,air pump,0.611111111,0.611111111,0.611111111,0.25,0.25,0.761904762,images/air_pump/air_pump_07s.jpg,6
91,air_pump/air_pump_08s.jpg,air_pump,air pump,0.588235294,0.588235294,0.588235294,0.466666667,0.466666667,0.785714286,images/air_pump/air_pump_08s.jpg,6
92,air_pump/air_pump_09s.jpg,air_pump,air pump,0.785714286,0.785714286,0.785714286,0.333333333,0.222222222,0.775,images/air_pump/air_pump_09s.jpg,6
93,air_pump/air_pump_10s.jpg,air_pump,air pump,0.625,0.625,0.625,0.4375,0.4375,0.675,images/air_pump/air_pump_10s.jpg,6
94,air_pump/air_pump_11s.jpg,air_pump,air pump,0.764705882,0.764705882,0.764705882,0.736842105,0.736842105,0.837209302,images/air_pump/air_pump_11s.jpg,6
95,air_pump/air_pump_12s.jpg,air_pump,air pump,0.210526316,0.210526316,0.210526316,0.222222222,0.111111111,0.666666667,images/air_pump/air_pump_12s.jpg,6
96,air_pump/air_pump_13s.jpg,air_pump,air pump,0.5,0.5,0.5,0.263157895,0.263157895,0.692307692,images/air_pump/air_pump_13s.jpg,6
97,airbag/airbag_01b.jpg,airbag,airbag,0.3125,0.3125,0.3125,0.8125,0.8125,0.8,images/airbag/airbag_01b.jpg,7
98,airbag/airbag_02s.jpg,airbag,airbag,0.533333333,0.533333333,0.533333333,0.944444444,0.944444444,0.925,images/airbag/airbag_02s.jpg,7
99,airbag/airbag_03s.jpg,airbag,airbag,0.6875,0.6875,0.6875,0.894736842,0.894736842,0.743589744,images/airbag/airbag_03s.jpg,7
100,airbag/airbag_04s.jpg,airbag,airbag,0.857142857,0.857142857,0.857142857,0.875,0.875,0.85,images/airbag/airbag_04s.jpg,7
101,airbag/airbag_05s.jpg,airbag,airbag,0.933333333,0.933333333,0.933333333,1.0,1.0,0.904761905,images/airbag/airbag_05s.jpg,7
102,airbag/airbag_06s.jpg,airbag,airbag,0.75,0.75,0.75,1.0,1.0,0.902439024,images/airbag/airbag_06s.jpg,7
103,airbag/airbag_07s.jpg,airbag,airbag,0.4375,0.4375,0.4375,0.722222222,0.722222222,0.578947368,images/airbag/airbag_07s.jpg,7
104,airbag/airbag_08s.jpg,airbag,airbag,0.4375,0.4375,0.4375,0.9375,0.9375,0.769230769,images/airbag/airbag_08s.jpg,7
105,airbag/airbag_09s.jpg,airbag,airbag,0.846153846,0.846153846,0.846153846,0.941176471,0.941176471,0.783783784,images/airbag/airbag_09s.jpg,7
106,airbag/airbag_10s.jpg,airbag,airbag,0.727272727,0.727272727,0.727272727,1.0,1.0,0.769230769,images/airbag/airbag_10s.jpg,7
107,airbag/airbag_11s.jpg,airbag,airbag,0.8,0.8,0.8,0.8,0.8,0.7,images/airbag/airbag_11s.jpg,7
108,airbag/airbag_12s.jpg,airbag,airbag,0.777777778,0.777777778,0.777777778,0.941176471,0.941176471,0.675,images/airbag/airbag_12s.jpg,7
109,airbag/airbag_13s.jpg,airbag,airbag,0.888888889,0.888888889,0.888888889,0.85,0.85,0.925,images/airbag/airbag_13s.jpg,7
110,airbag/airbag_14s.jpg,airbag,airbag,0.823529412,0.823529412,0.823529412,0.684210526,0.684210526,0.820512821,images/airbag/airbag_14s.jpg,7
111,airbag/airbag_15s.jpg,airbag,airbag,0.714285714,0.714285714,0.714285714,0.55,0.55,0.775,images/airbag/airbag_15s.jpg,7
112,airbag/airbag_16s.jpg,airbag,airbag,0.714285714,0.714285714,0.714285714,1.0,1.0,0.8,images/airbag/airbag_16s.jpg,7
113,airboat/airboat_01s.jpg,airboat,airboat,0.230769231,0.230769231,0.230769231,0.555555556,0.277777778,0.775,images/airboat/airboat_01s.jpg,8
114,airboat/airboat_02s.jpg,airboat,airboat,0.3125,0.3125,0.3125,0.473684211,0.473684211,0.674418605,images/airboat/airboat_02s.jpg,8
115,airboat/airboat_03s.jpg,airboat,airboat,0.277777778,0.277777778,0.277777778,0.5,0.5,0.717948718,images/airboat/airboat_03s.jpg,8
116,airboat/airboat_04s.jpg,airboat,airboat,0.2,0.2,0.2,0.3125,0.3125,0.731707317,images/airboat/airboat_04s.jpg,8
117,airboat/airboat_05s.jpg,airboat,airboat,0.461538462,0.461538462,0.461538462,0.5,0.5,0.928571429,images/airboat/airboat_05s.jpg,8
118,airboat/airboat_06s.jpg,airboat,airboat,0.470588235,0.470588235,0.470588235,0.473684211,0.473684211,0.829268293,images/airboat/airboat_06s.jpg,8
119,airboat/airboat_07s.jpg,airboat,airboat,0.333333333,0.333333333,0.333333333,0.368421053,0.368421053,0.650609756,images/airboat/airboat_07s.jpg,8
120,airboat/airboat_08s.jpg,airboat,airboat,0.357142857,0.357142857,0.357142857,0.5,0.555555556,0.75,images/airboat/airboat_08s.jpg,8
121,airboat/airboat_09s.jpg,airboat,airboat,0.333333333,0.333333333,0.333333333,0.368421053,0.157894737,0.853658537,images/airboat/airboat_09s.jpg,8
122,airboat/airboat_10s.jpg,airboat,airboat,0.333333333,0.333333333,0.333333333,0.315789474,0.263157895,0.627906977,images/airboat/airboat_10s.jpg,8
123,airboat/airboat_11s.jpg,airboat,airboat,0.636363636,0.636363636,0.636363636,0.388888889,0.388888889,0.789473684,images/airboat/airboat_11s.jpg,8
124,airboat/airboat_12s.jpg,airboat,airboat,0.555555556,0.555555556,0.555555556,0.4,0.4,0.717948718,images/airboat/airboat_12s.jpg,8
125,airboat/airboat_13s.jpg,airboat,airboat,0.25,0.25,0.25,0.333333333,0.333333333,0.619047619,images/airboat/airboat_13s.jpg,8
126,aircraft_carrier/aircraft_carrier_01b.jpg,aircraft_carrier,aircraft carrier,0.2,0.2,0.2,0.473684211,0.473684211,0.875,images/aircraft_carrier/aircraft_carrier_01b.jpg,9
127,aircraft_carrier/aircraft_carrier_02s.jpg,aircraft_carrier,aircraft carrier,0.2,0.2,0.2,0.470588235,0.470588235,0.785714286,images/aircraft_carrier/aircraft_carrier_02s.jpg,9
128,aircraft_carrier/aircraft_carrier_03s.jpg,aircraft_carrier,aircraft carrier,0.055555556,0.055555556,0.055555556,0.789473684,0.789473684,0.9,images/aircraft_carrier/aircraft_carrier_03s.jpg,9
129,aircraft_carrier/aircraft_carrier_04s.jpg,aircraft_carrier,aircraft carrier,0.357142857,0.357142857,0.357142857,0.411764706,0.411764706,0.756097561,images/aircraft_carrier/aircraft_carrier_04s.jpg,9
130,aircraft_carrier/aircraft_carrier_05s.jpg,aircraft_carrier,aircraft carrier,0.428571429,0.428571429,0.428571429,0.5625,0.5625,0.756097561,images/aircraft_carrier/aircraft_carrier_05s.jpg,9
131,aircraft_carrier/aircraft_carrier_06s.jpg,aircraft_carrier,aircraft carrier,0.0625,0.0625,0.0625,0.5,0.5,0.692307692,images/aircraft_carrier/aircraft_carrier_06s.jpg,9
132,aircraft_carrier/aircraft_carrier_07s.jpg,aircraft_carrier,aircraft carrier,0.125,0.125,0.125,0.352941176,0.352941176,0.725,images/aircraft_carrier/aircraft_carrier_07s.jpg,9
133,aircraft_carrier/aircraft_carrier_08s.jpg,aircraft_carrier,aircraft carrier,0.176470588,0.176470588,0.176470588,0.444444444,0.444444444,0.634146341,images/aircraft_carrier/aircraft_carrier_08s.jpg,9
134,aircraft_carrier/aircraft_carrier_09s.jpg,aircraft_carrier,aircraft carrier,0.230769231,0.230769231,0.230769231,0.555555556,0.555555556,0.536585366,images/aircraft_carrier/aircraft_carrier_09s.jpg,9
135,aircraft_carrier/aircraft_carrier_10s.jpg,aircraft_carrier,aircraft carrier,0.266666667,0.266666667,0.266666667,0.6,0.6,0.772727273,images/aircraft_carrier/aircraft_carrier_10s.jpg,9
136,aircraft_carrier/aircraft_carrier_11s.jpg,aircraft_carrier,aircraft carrier,0.157894737,0.157894737,0.157894737,0.277777778,0.277777778,0.769230769,images/aircraft_carrier/aircraft_carrier_11s.jpg,9
137,aircraft_carrier/aircraft_carrier_12s.jpg,aircraft_carrier,aircraft carrier,0.352941176,0.352941176,0.352941176,0.470588235,0.529411765,0.725,images/aircraft_carrier/aircraft_carrier_12s.jpg,9
138,aircraft_carrier/aircraft_carrier_13s.jpg,aircraft_carrier,aircraft carrier,0.538461538,0.538461538,0.538461538,0.55,0.55,0.75,images/aircraft_carrier/aircraft_carrier_13s.jpg,9
139,aircraft_carrier/aircraft_carrier_14s.jpg,aircraft_carrier,aircraft carrier,0.142857143,0.142857143,0.142857143,0.666666667,0.666666667,0.825,images/aircraft_carrier/aircraft_carrier_14s.jpg,9
140,aircraft_carrier/aircraft_carrier_15s.jpg,aircraft_carrier,aircraft carrier,0.181818182,0.181818182,0.181818182,0.5,0.5,0.710526316,images/aircraft_carrier/aircraft_carrier_15s.jpg,9
141,aircraft_carrier/aircraft_carrier_16s.jpg,aircraft_carrier,aircraft carrier,0.142857143,0.142857143,0.142857143,0.421052632,0.421052632,0.7,images/aircraft_carrier/aircraft_carrier_16s.jpg,9
142,aircraft_carrier/aircraft_carrier_17s.jpg,aircraft_carrier,aircraft carrier,0.368421053,0.368421053,0.368421053,0.538461538,0.538461538,0.853658537,images/aircraft_carrier/aircraft_carrier_17s.jpg,9
143,aircraft_carrier/aircraft_carrier_18s.jpg,aircraft_carrier,aircraft carrier,0.230769231,0.230769231,0.230769231,0.733333333,0.733333333,0.725,images/aircraft_carrier/aircraft_carrier_18s.jpg,9
144,aircraft_carrier/aircraft_carrier_19s.jpg,aircraft_carrier,aircraft carrier,0.636363636,0.636363636,0.636363636,0.642857143,0.642857143,0.846153846,images/aircraft_carrier/aircraft_carrier_19s.jpg,9
145,aircraft_carrier/aircraft_carrier_20s.jpg,aircraft_carrier,aircraft carrier,0.058823529,0.058823529,0.058823529,0.647058824,0.294117647,0.7,images/aircraft_carrier/aircraft_carrier_20s.jpg,9
146,aircraft_carrier/aircraft_carrier_21s.jpg,aircraft_carrier,aircraft carrier,0.2,0.2,0.2,0.611111111,0.611111111,0.761904762,images/aircraft_carrier/aircraft_carrier_21s.jpg,9
147,aircraft_carrier/aircraft_carrier_22s.jpg,aircraft_carrier,aircraft carrier,0.266666667,0.266666667,0.266666667,0.684210526,0.684210526,0.894736842,images/aircraft_carrier/aircraft_carrier_22s.jpg,9
148,aircraft_carrier/aircraft_carrier_23s.jpg,aircraft_carrier,aircraft carrier,0.5,0.5,0.5,0.444444444,0.444444444,0.846153846,images/aircraft_carrier/aircraft_carrier_23s.jpg,9
149,airplane/airplane_01b.jpg,airplane,airplane,0.714285714,0.714285714,0.785714286,0.933333333,0.933333333,0.720930233,images/airplane/airplane_01b.jpg,10
150,airplane/airplane_02n.jpg,airplane,airplane,0.588235294,0.588235294,0.588235294,0.722222222,0.722222222,0.840909091,images/airplane/airplane_02n.jpg,10
151,airplane/airplane_03n.jpg,airplane,airplane,0.6,0.6,0.6,0.684210526,0.684210526,0.8,images/airplane/airplane_03n.jpg,10
152,airplane/airplane_04n.jpg,airplane,airplane,0.909090909,0.909090909,0.909090909,0.894736842,0.894736842,0.833333333,images/airplane/airplane_04n.jpg,10
153,airplane/airplane_05n.jpg,airplane,airplane,0.85,0.85,0.9,1.0,1.0,0.772727273,images/airplane/airplane_05n.jpg,10
154,airplane/airplane_06n.jpg,airplane,airplane,0.866666667,0.866666667,0.866666667,0.882352941,0.882352941,0.707317073,images/airplane/airplane_06n.jpg,10
155,airplane/airplane_07n.jpg,airplane,airplane,0.733333333,0.733333333,0.733333333,0.894736842,0.894736842,0.820512821,images/airplane/airplane_07n.jpg,10
156,airplane/airplane_08n.jpg,airplane,airplane,1.0,1.0,1.0,0.894736842,0.894736842,0.75,images/airplane/airplane_08n.jpg,10
157,airplane/airplane_09n.jpg,airplane,airplane,0.9375,0.9375,0.9375,0.785714286,0.785714286,0.829268293,images/airplane/airplane_09n.jpg,10
158,airplane/airplane_10n.jpg,airplane,airplane,0.764705882,0.764705882,0.823529412,0.666666667,0.666666667,0.80952381,images/airplane/airplane_10n.jpg,10
159,airplane/airplane_11n.jpg,airplane,airplane,0.933333333,0.933333333,0.933333333,0.894736842,0.894736842,0.756097561,images/airplane/airplane_11n.jpg,10
160,airplane/airplane_12n.jpg,airplane,airplane,0.9375,0.9375,0.9375,0.888888889,0.888888889,0.846153846,images/airplane/airplane_12n.jpg,10
161,album/album_01s.jpg,album,album,0.153846154,0.153846154,0.153846154,0.777777778,0.777777778,0.725,images/album/album_01s.jpg,11
162,album/album_02s.jpg,album,album,0.916666667,0.916666667,0.916666667,0.823529412,0.823529412,0.775,images/album/album_02s.jpg,11
163,album/album_03s.jpg,album,album,0.785714286,0.785714286,0.785714286,0.611111111,0.388888889,0.666666667,images/album/album_03s.jpg,11
164,album/album_04s.jpg,album,album,0.9375,0.9375,0.9375,0.764705882,0.764705882,0.688888889,images/album/album_04s.jpg,11
